"","FileA","FileB","WassersteinDistanceMean","WassersteinDistanceStDev","WassersteinDistanceMedian","WassersteinDistanceMode","ShapiroWilkStatistic","ShapiroWilkPvalue","NPointsPerDrawn","NDrawns"
"W101","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNII_lowz_withbias.csv.gz",0.0247682480427843,0.000723823698839636,0.0248261650107192,0.0247461566221408,0.979930805384712,0.131295206829564,1000,100
"W102","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_fiducial3000_lowz_withbias.csv.gz",0.0271751321323169,0.000739361033167994,0.027216405234088,0.0270520095205563,0.982926152235063,0.22311477128466,1000,100
"W103","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_perfect3000_lowz_withbias.csv.gz",0.0277797813925187,0.000707013203649726,0.0277870326756321,0.0277076143097442,0.990997005862786,0.744737944773685,1000,100
"W104","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_perfect6000_lowz_withbias.csv.gz",0.0133654797169087,0.000559536976515169,0.01333197477942,0.0133772414242049,0.991402799110484,0.776472619026531,1000,100
"W105","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_random3000_lowz_withbias.csv.gz",0.0187951066174307,0.00063299471398098,0.0187560509724093,0.0187388138250309,0.984457500804296,0.29004405423823,1000,100
"W106","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.00112759527573775,0.000245742540142345,0.00105514872947807,0.000922393093092229,0.915291947239701,7.98735464211526e-06,1000,100
"W107","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.0124060149782893,0.000640690763502527,0.0123902557631002,0.0122915859434205,0.993053527066174,0.891267546709004,1000,100
"W108","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_95SNIa5AGN_lowz_withbias.csv.gz",0.00249650145055673,0.000601513639082059,0.00237757700795729,0.00246407944051349,0.978997744258366,0.111023926298751,1000,100
"W109","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_95SNIa5SNIa-91bg_lowz_withbias.csv.gz",0.0347905620843558,0.000653117912230931,0.0347900758391188,0.0346559735545968,0.994421309077956,0.957260294546739,1000,100
"W110","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.0125997090845974,0.000654296439244643,0.0126584081639976,0.0128276602493499,0.991623341853626,0.793317001712161,1000,100
"W111","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.021754357878898,0.000771153493225148,0.0218231702865511,0.0218405322730028,0.989434629724516,0.619065695896364,1000,100
"W112","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_95SNIa5SNII_lowz_withbias.csv.gz",0.00321333829882121,0.000496950544249702,0.00318523716145832,0.00302852725453129,0.990843629312975,0.732551322847812,1000,100
"W113","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_98SNIa2AGN_lowz_withbias.csv.gz",0.013947257840592,0.000692365618921486,0.0140448513713286,0.0139456762110875,0.988113297653444,0.516598356881959,1000,100
"W114","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_98SNIa2SNIa-91bg_lowz_withbias.csv.gz",0.0209999425148089,0.000677215062684366,0.0210985033054461,0.0212866998641213,0.988679385202401,0.559563758811679,1000,100
"W115","chains_90SNIa10SNIbc_lowz_withbias.csv.gz","chains_98SNIa2SNIax_lowz_withbias.csv.gz",0.0151164107547637,0.000664755471238105,0.0152066873769568,0.0149827275659606,0.990553509684816,0.709302772254556,1000,100
