case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,fom1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,KLD
72SNIa28SNII,"['II', 'II', 'II']","[2, 12, 14]",2160,"[436, 346, 58]",72.0,"[14.53, 11.53, 1.93]",0.4918330308529945,0.72,0.72,0.5184,0.3323076923076923,-1.1745,0.0285,0.311,0.0014,-1.14,0.02,0.31,1.4e-3,-99,-99
90SNIa10SNIax,Iax,43,2700,300,90.0,10.0,0.8185117967332124,0.9,0.9,0.81,0.675,-0.9085,0.0225,0.308,0.0048,-1.07,0.02,0.31,3.5e-3,-99,-99
random3000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN', 'CART', 'TDE', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 60, 63, 64, 70]",2742,"[93, 11, 76, 6, 7, 1, 54, 1, 2, 2, 5]",91.4,"[3.1, 0.37, 2.53, 0.2, 0.23, 0.03, 1.8, 0.03, 0.07, 0.07, 0.17]",0.8439201451905626,0.914,0.914,0.835396,0.7127952218430034,-0.823,0.0373,0.303,0.0054,-1.06,0.02,0.31,3.3e-3,-99,-99
98SNIa2SNIa-91bg,91bg,41,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.842,0.0474,0.309,0.0057,-1.03,0.02,0.3,4.7e-3,-99,-99
99.7SNIa0.3CART,CART,63,2991,9,99.7,0.3,0.9945553539019963,0.997,0.997,0.994009,0.9880805168986085,-0.8515,0.0475,0.309,0.0058,-1.03,0.02,0.3,5.0e-3,-99,-99
98SNIa2SNIax,Iax,43,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.8705,0.0237,0.3083,0.0049,-1.04,0.02,0.3,4.7e-3,-99,-99
95SNIa5AGN,AGN,70,2850,150,95.0,5.0,0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.861,0.0348,0.311,0.0045,-1.07,0.02,0.31,3.1e-3,-99,-99
99SNIa1SNIax,Iax,43,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8705,0.0167,0.3067,0.0049,-1.04,0.02,0.3,4.8e-3,-99,-99
99SNIa1SNIbc,"['Ibc', 'Ibc']","[3, 13]",2970,"[18, 12]",99.0,"[0.6, 0.4]",0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8705,0.0131,0.3053,0.005,-1.03,0.02,0.3,5.0e-3,-99,-99
75SNIa25SNII,"['II', 'II', 'II']","[2, 12, 14]",2250,"[377, 313, 60]",75.0,"[12.57, 10.43, 2.0]",0.5462794918330308,0.75,0.75,0.5625,0.375,-1.108,0.0375,0.311,0.0022,-1.11,0.02,0.31,1.9e-3,-99,-99
95SNIa5SNIax,Iax,43,2850,150,95.0,5.0,0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.9085,0.0392,0.2995,0.0056,-1.03,0.02,0.3,4.9e-3,-99,-99
90SNIa10SNIbc,"['Ibc', 'Ibc']","[3, 13]",2700,"[185, 115]",90.0,"[6.17, 3.83]",0.8185117967332124,0.9,0.9,0.81,0.675,-0.804,0.013,0.3085,0.0049,-1.06,0.02,0.31,2.8e-3,-99,-99
99SNIa1SNII,"['II', 'II', 'II']","[2, 12, 14]",2970,"[15, 14, 1]",99.0,"[0.5, 0.47, 0.03]",0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8895,0.0108,0.3045,0.0051,-1.03,0.02,0.3,4.8e-3,-99,-99
98SNIa2SNIbc,"['Ibc', 'Ibc']","[3, 13]",2940,"[38, 22]",98.0,"[1.27, 0.73]",0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.842,0.0445,0.309,0.0057,-1.04,0.02,0.31,4.2e-3,-99,-99
75SNIa25SNIax,Iax,43,2250,750,75.0,25.0,0.5462794918330308,0.75,0.75,0.5625,0.375,-0.9655,0.0228,0.311,0.0026,-1.12,0.02,0.31,1.8e-3,-99,-99
95SNIa5SNIa-91bg,91bg,41,2850,150,95.0,5.0,0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.861,0.0352,0.3083,0.0053,-1.02,0.02,0.3,5.1e-3,-99,-99
