case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,fom1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,KLD
72SNIa28SNII,"['II', 'II', 'II']","[2, 12, 14]",2160,"[408, 371, 61]",72.0,"[13.6, 12.37, 2.03]",0.4918330308529945,0.72,0.72,0.5184,0.3323076923076923,-1.2315,0.0473,0.311,0.0015,-1.13,0.02,0.31,1.7e-3,-99,-99
90SNIa10SNIax,Iax,43,2700,300,90.0,10.0,0.8185117967332124,0.9,0.9,0.81,0.675,-0.8895,0.0111,0.311,0.0042,-1.08,0.02,0.31,3.0e-3,-99,-99
random3000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN', 'CART', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 60, 63, 70]",2703,"[96, 11, 80, 9, 12, 1, 79, 2, 4, 3]",90.1,"[3.2, 0.37, 2.67, 0.3, 0.4, 0.03, 2.63, 0.07, 0.13, 0.1]",0.8203266787658802,0.901,0.901,0.811801,0.6776302170283807,-0.9085,0.0198,0.3087,0.0047,-1.06,0.02,0.31,3.3e-3,-99,-99
98SNIa2SNIa-91bg,91bg,41,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.861,0.0318,0.3083,0.0051,-1.03,0.02,0.3,5.0e-3,-99,-99
99.7SNIa0.3CART,CART,63,2991,9,99.7,0.3,0.9945553539019963,0.997,0.997,0.994009,0.9880805168986085,-0.8515,0.0442,0.309,0.0056,-1.03,0.02,0.3,4.9e-3,-99,-99
98SNIa2SNIax,Iax,43,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.88,0.0115,0.3063,0.0049,-1.03,0.02,0.3,4.8e-3,-99,-99
95SNIa5AGN,AGN,70,2850,150,95.0,5.0,0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.9085,0.025,0.306,0.005,-1.06,0.02,0.31,3.8e-3,-99,-99
99SNIa1SNIax,Iax,43,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8135,0.0309,0.2987,0.0055,-1.04,0.02,0.3,4.6e-3,-99,-99
99SNIa1SNIbc,"['Ibc', 'Ibc']","[3, 13]",2970,"[19, 11]",99.0,"[0.63, 0.37]",0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.88,0.0097,0.3059,0.005,-1.04,0.02,0.3,4.9e-3,-99,-99
75SNIa25SNII,"['II', 'II', 'II']","[2, 12, 14]",2250,"[363, 330, 57]",75.0,"[12.1, 11.0, 1.9]",0.5462794918330308,0.75,0.75,0.5625,0.375,-1.127,0.0477,0.311,0.0018,-1.13,0.02,0.31,1.6e-3,-99,-99
95SNIa5SNIax,Iax,43,2850,150,95.0,5.0,0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.8895,0.0108,0.3102,0.0046,-1.06,0.02,0.31,3.9e-3,-99,-99
90SNIa10SNIbc,"['Ibc', 'Ibc']","[3, 13]",2700,"[169, 131]",90.0,"[5.63, 4.37]",0.8185117967332124,0.9,0.9,0.81,0.675,-0.7755,0.0186,0.311,0.0044,-1.06,0.02,0.31,2.7e-3,-99,-99
99SNIa1SNII,"['II', 'II', 'II']","[2, 12, 14]",2970,"[18, 9, 3]",99.0,"[0.6, 0.3, 0.1]",0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8705,0.0204,0.3073,0.0049,-1.04,0.02,0.3,4.7e-3,-99,-99
98SNIa2SNIbc,"['Ibc', 'Ibc']","[3, 13]",2940,"[33, 27]",98.0,"[1.1, 0.9]",0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.842,0.0443,0.309,0.0057,-1.04,0.02,0.3,4.5e-3,-99,-99
75SNIa25SNIax,Iax,43,2250,750,75.0,25.0,0.5462794918330308,0.75,0.75,0.5625,0.375,-0.994,0.0174,0.311,0.0029,-1.1,0.02,0.31,2.2e-3,-99,-99
95SNIa5SNIa-91bg,91bg,41,2850,150,95.0,5.0,0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.8135,0.0344,0.2975,0.0055,-1.02,0.02,0.3,5.0e-3,-99,-99
